name,years_in_top1000,total_share
JAMI,42,0.011095
BRENNAN,42,0.010935
LARISSA,42,0.010352
CORTNEY,42,0.009321
BRENDON,42,0.008449
MARILYNN,42,0.007391
ROSANNE,42,0.006967
LEILANI,42,0.006859
DEENA,42,0.005909
LUNA,42,0.005321
JUDE,42,0.005205
JAUNITA,42,0.005153
ARDIS,42,0.004703
DIRK,42,0.004683
NORMAND,42,0.003948
SIBYL,42,0.003819
VENA,42,0.003582
NESTOR,42,0.003394
ELDRED,42,0.003288
MAGDALEN,42,0.003210
EMMER,42,0.003180
NICKY,42,0.003150
LUISA,42,0.002851
MAMMIE,42,0.002819
FAIRY,42,0.002708
ANDREAS,42,0.002582
ELOISA,42,0.002548
LEEROY,42,0.002487
EDWARDO,42,0.002343
DAROLD,42,0.002149
DWAINE,42,0.001884
BRITTANY,41,0.181295
DUSTIN,41,0.101781
CHASE,41,0.052596
MISTY,41,0.047906
NICHOLE,41,0.034013
STACIE,41,0.021133
COLBY,41,0.020746
DAMIEN,41,0.020304
JAMAL,41,0.014227
JOHNATHON,41,0.011112
BEAU,41,0.010923
SAUNDRA,41,0.009942
SHARRON,41,0.009276
ARACELI,41,0.007787
KAYE,41,0.007151
KARYN,41,0.006473
MARYANNE,41,0.005964
CARYN,41,0.005891
SHARLENE,41,0.005427
LANNY,41,0.005302
OSVALDO,41,0.005217
VINNIE,41,0.005076
YETTA,41,0.004844
OLETA,41,0.004748
DANNA,41,0.004729
ETHYL,41,0.004373
SYBLE,41,0.004268
STAN,41,0.003953
OCTAVIO,41,0.003693
BARBRA,41,0.003442
CLETA,41,0.002991
FINIS,41,0.002779
ELVINA,41,0.002664
NEOMA,41,0.002656
MARGE,41,0.002606
VERLIN,41,0.002569
HANK,41,0.002566
CLOVIS,41,0.002533
CHELSEA,40,0.076024
AUTUMN,40,0.043640
ALEXANDRIA,40,0.041775
KARINA,40,0.025736
TRISHA,40,0.020479
STEFANIE,40,0.018879
NATALIA,40,0.018039
MARQUIS,40,0.009979
DAMION,40,0.007048
ARCH,40,0.006942
TENNIE,40,0.005804
MARVA,40,0.005783
JAMISON,40,0.005564
MERRY,40,0.004555
ROBBY,40,0.004554
CULLEN,40,0.004040
EMELIA,40,0.003971
ARI,40,0.003621
DAVIN,40,0.003575
MARLYN,40,0.003420
MAYBELL,40,0.003365
LUDWIG,40,0.003064
LONNY,40,0.002934
EXIE,40,0.002834
ALBERTINE,40,0.002832
MYRLE,40,0.002823
EULAH,40,0.002731
SABINA,40,0.002712
MURRY,40,0.002632
HAZLE,40,0.002599
ESTEL,40,0.002539
FURMAN,40,0.002443
WILLIA,40,0.002437
MILAN,40,0.002332
ISIDRO,40,0.001977
MAYA,39,0.027564
JADA,39,0.024788
PAYTON,39,0.021564
JERMAINE,39,0.020092
MALIK,39,0.016714
CARISSA,39,0.013407
BRANDEN,39,0.012291
GRIFFIN,39,0.011359
CHRISTI,39,0.010924
MARCIE,39,0.007293
CASANDRA,39,0.007059
MEYER,39,0.005759
ANTWAN,39,0.005358
JOELLE,39,0.005039
KOREY,39,0.004764
MALLIE,39,0.004231
OLAF,39,0.003798
PORTIA,39,0.003428
HEZEKIAH,39,0.003409
EUGENIE,39,0.003329
MORTIMER,39,0.003327
HENERY,39,0.003209
HILDEGARDE,39,0.003046
HILDRED,39,0.002935
LARUE,39,0.002934
FLORIAN,39,0.002818
TYRON,39,0.002738
ALVERTA,39,0.002659
EFREN,39,0.002652
ELWYN,39,0.002561
INES,39,0.002390
EUNA,39,0.002312
JERE,39,0.002260
GLENDON,39,0.002234
MARGARITO,39,0.001855
GENARO,39,0.001827
DUWAYNE,39,0.001540
JENNA,38,0.066699
SUMMER,38,0.031715
TRACI,38,0.028618
MICHAELA,38,0.021236
YESENIA,38,0.018789
RAVEN,38,0.017387
JARROD,38,0.012637
ERICKA,38,0.011349
DEANDRE,38,0.011320
TARYN,38,0.010909
LUANN,38,0.007478
PAULINA,38,0.006698
DONTE,38,0.006562
SCOT,38,0.006539
DESHAWN,38,0.006124
CORINA,38,0.006120
ADAH,38,0.005603
DARA,38,0.004882
DELOIS,38,0.004820
NIGEL,38,0.004686
WASHINGTON,38,0.004660
NELS,38,0.004573
ISIDORE,38,0.004454
DOROTHA,38,0.004450
CASIMIR,38,0.004135
VALENCIA,38,0.003922
LENNA,38,0.003904
CRISTOPHER,38,0.003790
FLORENE,38,0.003539
MAYE,38,0.003450
CARYL,38,0.003448
GERMAN,38,0.003357
CHARLA,38,0.003356
HASSAN,38,0.003250
KIP,38,0.003224
ARLEN,38,0.003119
CARLEEN,38,0.002683
CHAIM,38,0.002620
BURLEY,38,0.002469
NILA,38,0.002415
BAXTER,38,0.002333
CONCEPCION,38,0.002279
VENITA,38,0.002277
NORVAL,38,0.002276
DENZIL,38,0.002087
WALLY,38,0.002067
GREGGORY,38,0.001941
FARRELL,38,0.001815
DELTON,38,0.001766
LORENZA,38,0.001690
JASMINE,37,0.108548
CASSIDY,37,0.022795
ALEJANDRA,37,0.020914
JOSUE,37,0.016019
SHANA,37,0.015348
LILIANA,37,0.014459
SHANNA,37,0.014376
SASHA,37,0.014330
JONI,37,0.013528
KIRA,37,0.012940
CHASITY,37,0.012129
BRENNA,37,0.011938
TONIA,37,0.011508
ZACHARIAH,37,0.010177
CHANDRA,37,0.008834
MABELLE,37,0.008325
NATHANAEL,37,0.007297
JAMAR,37,0.006552
KAREEM,37,0.006192
ELYSE,37,0.006026
JENA,37,0.005559
MARICELA,37,0.005365
GAYLA,37,0.005114
JAMESON,37,0.004931
ADRIANNE,37,0.004931
ALECIA,37,0.004867
LEXIE,37,0.004718
JAMEL,37,0.004664
SANDI,37,0.004603
BABY,37,0.004498
MINNA,37,0.004432
CORDIE,37,0.004375
PEGGIE,37,0.004270
JUSTINA,37,0.004213
MONIKA,37,0.003999
CATALINA,37,0.003929
ARDITH,37,0.003807
CORTEZ,37,0.003494
ALIDA,37,0.003449
NAT,37,0.003339
SIMEON,37,0.003272
CHARLINE,37,0.003168
MARIANN,37,0.003005
BERNEICE,37,0.002999
PRICE,37,0.002921
JONES,37,0.002703
CARLYLE,37,0.002468
LENNY,37,0.002251
JACKY,37,0.002168
BERNARDINE,37,0.002063
AUTHER,37,0.002052
ARVIL,37,0.002027
AURELIO,37,0.001780
ALEXA,36,0.039859
BIANCA,36,0.031378
CARLY,36,0.027635
LIAM,36,0.024022
DANIELA,36,0.021110
KENNEDY,36,0.017994
TRACIE,36,0.017548
BRADEN,36,0.016050
ZACHERY,36,0.013295
FATIMA,36,0.010418
ANGELIA,36,0.010252
TERRIE,36,0.009585
AISHA,36,0.008813
CHRYSTAL,36,0.007162
BELL,36,0.007063
ELAINA,36,0.006146
GREEN,36,0.006059
TYREE,36,0.005247
AMERICA,36,0.004970
KEELY,36,0.004879
NATHANIAL,36,0.004237
CAREN,36,0.004046
KAROL,36,0.003891
MOSHE,36,0.003740
COBY,36,0.003294
MARILEE,36,0.003264
RANSOM,36,0.003014
ANTIONETTE,36,0.002995
LAYNE,36,0.002886
MARGOT,36,0.002847
ARA,36,0.002832
LEVY,36,0.002731
DARON,36,0.002668
DARIO,36,0.002618
MOZELL,36,0.002609
ALONZA,36,0.002563
OTTIE,36,0.002528
PENNIE,36,0.002520
KRAIG,36,0.002480
JACQUELIN,36,0.002476
GOLDIA,36,0.002434
GODFREY,36,0.002422
LEOPOLD,36,0.002406
PALMA,36,0.002383
ADELLE,36,0.002372
GEARLD,36,0.002350
LYNDON,36,0.002348
MERL,36,0.002292
WILLIAN,36,0.002084
EWELL,36,0.002082
FRANCESCO,36,0.002079
NORWOOD,36,0.002002
LYNWOOD,36,0.001941
BRIANA,35,0.041875
LACEY,35,0.023042
EBONY,35,0.020197
JASMIN,35,0.019473
ALANNA,35,0.007473
SHEREE,35,0.006474
RASHAD,35,0.006326
REGAN,35,0.006047
AHMAD,35,0.005983
MARLYS,35,0.005924
BRIDGETT,35,0.005857
REECE,35,0.005488
DEMARCUS,35,0.005326
SHELLIE,35,0.004565
SCOTTIE,35,0.004414
THEDA,35,0.004280
LUANNE,35,0.004115
EMOGENE,35,0.003814
WAYLON,35,0.003607
ONIE,35,0.003326
LYN,35,0.003241
CHARLEEN,35,0.003023
OFELIA,35,0.002931
HASSIE,35,0.002743
MADALINE,35,0.002616
ETHA,35,0.002584
MARGARETTA,35,0.002303
MYRL,35,0.002168
TWYLA,35,0.002134
ARLO,35,0.002132
EARLIE,35,0.002105
VIRGLE,35,0.002074
BERNITA,35,0.002000
ROZELLA,35,0.001942
ARVIN,35,0.001698
DESTINY,34,0.061239
JACLYN,34,0.024102
MEAGAN,34,0.020756
PAM,34,0.016798
KYLA,34,0.014391
STACI,34,0.013594
SHAYLA,34,0.012824
TIANA,34,0.010427
SAGE,34,0.007173
CHANTEL,34,0.007162
SUZETTE,34,0.007092
DEVAN,34,0.006507
GILLIAN,34,0.006465
DIANN,34,0.006454
HUDSON,34,0.006248
ROCIO,34,0.005553
JAROD,34,0.005494
JANEL,34,0.004970
LIZETTE,34,0.004695
DEIDRA,34,0.004540
DEANN,34,0.004499
DEANGELO,34,0.004258
RETTA,34,0.004197
MELLIE,34,0.003994
ROD,34,0.003832
MARIAM,34,0.003620
CALE,34,0.002744
SOCORRO,34,0.002728
ODA,34,0.002649
HAMPTON,34,0.002598
DURWARD,34,0.002530
JEANE,34,0.002481
VERNER,34,0.002474
LEDA,34,0.002325
THORA,34,0.002218
WERNER,34,0.002120
ENOLA,34,0.001925
ARLEY,34,0.001849
VON,34,0.001480
ARNULFO,34,0.001419
BRIANNA,33,0.106334
HALEY,33,0.071272
CAITLIN,33,0.053620
JILLIAN,33,0.036551
TANNER,33,0.035424
ASHLEE,33,0.021170
TAMI,33,0.019770
NADIA,33,0.015239
KYRA,33,0.013245
JULIANNA,33,0.012583
REAGAN,33,0.012318
ZACKARY,33,0.012300
MALACHI,33,0.011156
JUSTICE,33,0.010129
KATHIE,33,0.007364
TIFFANI,33,0.007320
SHAYNA,33,0.007090
MARCI,33,0.006679
JANAE,33,0.006622
CRISTAL,33,0.006514
AMIR,33,0.006510
CHANEL,33,0.006322
JAVON,33,0.006313
CARINA,33,0.006151
JARRED,33,0.006026
YADIRA,33,0.005415
JUDI,33,0.005397
JARON,33,0.004445
RILLA,33,0.004352
DAREN,33,0.004332
JERROD,33,0.004319
GUST,33,0.004312
REBECA,33,0.004269
INGA,33,0.004189
AHMED,33,0.004114
JOVAN,33,0.003750
DARRICK,33,0.003420
LIBBIE,33,0.003290
DINO,33,0.003129
MEDA,33,0.003116
ARIC,33,0.002966
MARYJO,33,0.002823
GINNY,33,0.002669
TAD,33,0.002627
MALVINA,33,0.002498
DICKIE,33,0.002486
ELIDA,33,0.002423
GEORGENE,33,0.002405
CORAL,33,0.002381
LERA,33,0.002184
LOYCE,33,0.002103
BARTHOLOMEW,33,0.002062
JERRELL,33,0.002003
HILLARD,33,0.001943
EVELINE,33,0.001855
DEL,33,0.001520
EZELL,33,0.001493
HAYLEY,32,0.021405
TASHA,32,0.018823
ADRIANNA,32,0.015444
KEISHA,32,0.011403
LORIE,32,0.010813
TABATHA,32,0.010005
BRENDEN,32,0.009739
JACE,32,0.009736
TALIA,32,0.008708
KARISSA,32,0.008468
CONOR,32,0.008187
ZACKERY,32,0.007415
KILEY,32,0.006844
RHIANNON,32,0.006538
MADALYN,32,0.006475
CHADWICK,32,0.006211
TAMRA,32,0.006202
CARI,32,0.006042
TAMERA,32,0.005913
DAVON,32,0.005083
DEVYN,32,0.004387
KRISTOFER,32,0.004060
ROBBIN,32,0.003976
ANNEMARIE,32,0.003640
JEANNA,32,0.003609
SHIRLEE,32,0.003570
MARQUES,32,0.003280
GERI,32,0.003206
ARRON,32,0.002969
WEST,32,0.002915
ESTEVAN,32,0.002816
DONAVAN,32,0.002768
JACQULINE,32,0.002762
ERNST,32,0.002520
ANNAMARIE,32,0.002457
TREVER,32,0.002398
SANTO,32,0.002361
LAVERNA,32,0.002358
RESSIE,32,0.002186
OSIE,32,0.002089
ELLWOOD,32,0.002084
LOMA,32,0.001978
DELTA,32,0.001906
NAOMA,32,0.001858
EDGARDO,32,0.001817
DURWOOD,32,0.001556
ARLIN,32,0.001548
SIERRA,31,0.043554
BRITTNEY,31,0.040945
KYLIE,31,0.035813
CHEYENNE,31,0.028619
DILLON,31,0.026112
KALEB,31,0.023233
COOPER,31,0.016541
ASHLEIGH,31,0.015301
LATONYA,31,0.011906
ALAINA,31,0.011320
MACY,31,0.010098
DRAKE,31,0.009928
KODY,31,0.009031
LUKAS,31,0.008442
PRECIOUS,31,0.007828
ALINA,31,0.007433
NIKOLAS,31,0.007432
ABBEY,31,0.007409
NICOLETTE,31,0.006178
TYRA,31,0.005738
DESIRAE,31,0.005533
KITTIE,31,0.005450
CARLIE,31,0.005219
MERTIE,31,0.004473
FELECIA,31,0.004431
ETTIE,31,0.004296
MARLENA,31,0.003748
MISSOURI,31,0.003698
LIGE,31,0.003688
MELODIE,31,0.003205
LISETTE,31,0.003161
RICO,31,0.003126
BO,31,0.003012
KEON,31,0.002982
GEARLDINE,31,0.002908
GUSS,31,0.002905
GEO,31,0.002871
GAYE,31,0.002870
SADYE,31,0.002870
ROSEANNE,31,0.002555
VIOLETTE,31,0.002522
SID,31,0.002351
SHIRLENE,31,0.002296
HAYES,31,0.002212
BRONSON,31,0.002189
WELLINGTON,31,0.002157
CAL,31,0.002082
DOMENICK,31,0.002081
MANLEY,31,0.002061
OVA,31,0.001915
GAYNELL,31,0.001893
ROSITA,31,0.001871
OZELLA,31,0.001755
DELPHA,31,0.001719
MEL,31,0.001347
BREANNA,30,0.037557
ARIANA,30,0.029116
CRISTIAN,30,0.022308
ASIA,30,0.013754
BRYSON,30,0.011789
KEEGAN,30,0.010001
TUCKER,30,0.009335
LORRIE,30,0.008269
WENDI,30,0.007182
PERLA,30,0.006892
VIVIANA,30,0.006870
TYRELL,30,0.006232
MELINA,30,0.004895
OLE,30,0.004835
CORI,30,0.004550
MOHAMMAD,30,0.004369
PRINCESS,30,0.004114
CHAZ,30,0.003989
PINK,30,0.003933
SIM,30,0.003805
ISOM,30,0.003325
CANDI,30,0.003283
WASH,30,0.003245
MATHILDE,30,0.003014
MATHIAS,30,0.002990
TORY,30,0.002830
MANDA,30,0.002792
MUHAMMAD,30,0.002791
JABARI,30,0.002711
BISHOP,30,0.002582
FINLEY,30,0.002563
ICIE,30,0.002538
ARRIE,30,0.002500
SIGNE,30,0.002456
JANEEN,30,0.002407
JAMIL,30,0.002406
NANNETTE,30,0.002380
MERLYN,30,0.002229
BROWN,30,0.002194
ZADA,30,0.002167
SYLVAN,30,0.002117
HERTHA,30,0.002114
CLORA,30,0.002109
VALENTIN,30,0.002068
ANNAMAE,30,0.002067
CHRISTENE,30,0.002022
HILLIARD,30,0.002011
ROMONA,30,0.001986
VERSIE,30,0.001928
CHET,30,0.001849
IMELDA,30,0.001816
ELEASE,30,0.001760
LEONOR,30,0.001742
VERL,30,0.001740
DRUCILLA,30,0.001710
BRITT,30,0.001644
LEAMON,30,0.001468
TRINITY,29,0.023866
TAMMIE,29,0.018627
BRITNEY,29,0.016160
TATIANA,29,0.013581
BRODY,29,0.013004
MARIANA,29,0.011388
TANISHA,29,0.009489
JORDON,29,0.005577
TRISTA,29,0.005327
REYNA,29,0.004802
DEMETRIA,29,0.004140
LIANA,29,0.003881
SUZAN,29,0.003878
ROB,29,0.003692
KORI,29,0.003689
ISAIAS,29,0.003575
EZEQUIEL,29,0.003542
KIRSTIN,29,0.003434
PAMALA,29,0.003358
JAMEY,29,0.003072
STACIA,29,0.003059
VENUS,29,0.002939
TILDA,29,0.002737
LINDY,29,0.002616
ALVAH,29,0.002593
ZETTA,29,0.002265
JERALDINE,29,0.002256
RUSS,29,0.002250
CORDIA,29,0.002232
DARRON,29,0.002190
EMELINE,29,0.002149
ROSSIE,29,0.002074
ORALIA,29,0.002059
CARLOTTA,29,0.002048
FLORRIE,29,0.002013
SULA,29,0.001983
GLENNIE,29,0.001941
ARIE,29,0.001939
WORTH,29,0.001829
DOMINGA,29,0.001756
ERIE,29,0.001734
LEIF,29,0.001719
FAE,29,0.001717
DONAL,29,0.001686
NORTON,29,0.001686
CLEON,29,0.001515
WOODY,29,0.001404
GAYLON,29,0.001262
DONELL,29,0.001182
CONNOR,28,0.066480
KATELYN,28,0.056500
KAITLIN,28,0.027697
JADEN,28,0.027177
KYLEE,28,0.015288
KASSANDRA,28,0.013511
TIARA,28,0.010747
BRIANNE,28,0.009786
DANIELLA,28,0.008679
KAI,28,0.006826
MARANDA,28,0.005032
CHRISTIN,28,0.005015
KRISTAL,28,0.004965
CHRISTEN,28,0.004905
KATHI,28,0.004714
SHANTEL,28,0.004529
KARRIE,28,0.004522
DENICE,28,0.004302
KELLEN,28,0.004182
KERRIE,28,0.003924
MOHAMMED,28,0.003762
MARISELA,28,0.003737
MARYBETH,28,0.003478
LEM,28,0.003292
ANDRIA,28,0.003232
RICHELLE,28,0.003165
IVETTE,28,0.003153
VIKKI,28,0.002932
STEPHON,28,0.002888
LELAH,28,0.002881
SUZANNA,28,0.002266
NANCI,28,0.002244
SAMPSON,28,0.002204
LIDDIE,28,0.002185
JERRIE,28,0.002169
MARCELLE,28,0.002123
CEDRICK,28,0.002060
TEMPIE,28,0.001989
ARIZONA,28,0.001952
VERLIE,28,0.001907
RONNA,28,0.001898
GERHARD,28,0.001822
JOELLEN,28,0.001794
EURA,28,0.001777
DEMPSEY,28,0.001686
VELLA,28,0.001683
ROMAINE,28,0.001679
JOYCELYN,28,0.001672
JOSSIE,28,0.001663
HURLEY,28,0.001609
ARVEL,28,0.001606
EUDORA,28,0.001501
GAROLD,28,0.001294
HAILEY,27,0.054115
COLTON,27,0.030688
LATASHA,27,0.016393
JAZMIN,27,0.015977
ALEXIA,27,0.015307
CIARA,27,0.014379
DEBORA,27,0.013306
LATISHA,27,0.009543
ARIELLE,27,0.008386
EMILEE,27,0.008330
JULISSA,27,0.007926
KALI,27,0.007392
LYNDSEY,27,0.006589
CARLEY,27,0.006422
TERRA,27,0.006407
DANETTE,27,0.004743
ASHLY,27,0.004736
CATRINA,27,0.004431
MOHAMED,27,0.004028
DAMARIS,27,0.003528
JOHNNA,27,0.003249
KARON,27,0.002865
ROLLA,27,0.002766
SOPHRONIA,27,0.002418
EDSEL,27,0.002054
HEBER,27,0.001958
ALF,27,0.001907
FLO,27,0.001889
ZENA,27,0.001789
RICHIE,27,0.001778
ELTA,27,0.001754
MILBURN,27,0.001736
RONA,27,0.001730
JULIANN,27,0.001689
BIRTHA,27,0.001681
EVANGELINA,27,0.001636
ZITA,27,0.001547
DARELL,27,0.000974
KAITLYN,26,0.071106
JAYDEN,26,0.040830
GABRIELLA,26,0.031631
MALLORY,26,0.022867
CAITLYN,26,0.022646
JORDYN,26,0.015249
CHELSEY,26,0.014751
TAMIKA,26,0.012528
GISELLE,26,0.012441
KAMERON,26,0.009406
CADE,26,0.008584
PAOLA,26,0.008429
BRANDIE,26,0.008019
TAMMI,26,0.007207
YASMIN,26,0.007121
STEPHANY,26,0.004948
TESS,26,0.004919
LATANYA,26,0.004814
TATE,26,0.004467
LATRICE,26,0.004281
TIFFANIE,26,0.004186
RACHEAL,26,0.003982
MARQUISE,26,0.003923
DEVEN,26,0.003859
KACEY,26,0.003728
LASHAWN,26,0.003441
ARMANI,26,0.003401
HOLLI,26,0.003326
KIA,26,0.003160
JEANA,26,0.002752
SENA,26,0.002660
CICERO,26,0.002620
STARLA,26,0.002339
METTIE,26,0.002201
DOC,26,0.002196
FRAN,26,0.002139
VINCENZA,26,0.002012
HELGA,26,0.001886
ALMIRA,26,0.001808
ICY,26,0.001798
DERIK,26,0.001764
DARLINE,26,0.001762
DEJUAN,26,0.001733
MAYMIE,26,0.001709
BEE,26,0.001691
ALVENA,26,0.001689
ELFRIEDA,26,0.001659
ERNESTINA,26,0.001610
VERTIE,26,0.001596
DERECK,26,0.001590
WYNONA,26,0.001582
SUMNER,26,0.001567
IZORA,26,0.001562
OLEVIA,26,0.001529
ERLINDA,26,0.001515
GARDNER,26,0.001512
ESTELA,26,0.001500
HERMINA,26,0.001483
ANDRA,26,0.001468
CLEORA,26,0.001465
AUTHOR,26,0.001438
DERIC,26,0.001310
LARS,26,0.001255
KAYLEE,25,0.038843
MCKENZIE,25,0.018802
SAVANNA,25,0.011586
JAKOB,25,0.010983
CORBIN,25,0.008618
GRAYSON,25,0.008315
BRAXTON,25,0.008307
AMARI,25,0.006579
MEAGHAN,25,0.006399
ASHER,25,0.005220
LAURI,25,0.005113
ANISSA,25,0.004841
ALYCIA,25,0.003382
DARIEN,25,0.003284
TOD,25,0.003199
NORAH,25,0.003157
ALYSIA,25,0.003144
COLT,25,0.003052
GRISELDA,25,0.003029
PATIENCE,25,0.002809
RENITA,25,0.002797
LAUREEN,25,0.002703
JEROD,25,0.002489
DIAN,25,0.002476
CHRISTENA,25,0.002346
MINOR,25,0.002327
KENYON,25,0.002093
BONNY,25,0.002074
BRAIN,25,0.002039
EPHRAIM,25,0.002038
GERRI,25,0.001955
HULDAH,25,0.001929
LILIA,25,0.001899
LOUANN,25,0.001885
RICH,25,0.001824
DORINDA,25,0.001804
WESTLEY,25,0.001771
ALVERA,25,0.001722
GARRICK,25,0.001672
CURLEY,25,0.001651
TRUDIE,25,0.001590
MIMI,25,0.001567
THURSTON,25,0.001467
CLARIBEL,25,0.001459
ELGIN,25,0.001443
LURLINE,25,0.001378
JEFFEREY,25,0.001300
TIMMOTHY,25,0.001230
BURNELL,25,0.001191
GEROLD,25,0.001141
MARCELINO,25,0.001007
LATOYA,24,0.024714
ARIANNA,24,0.022961
DIAMOND,24,0.014362
JAZMINE,24,0.013608
CIERRA,24,0.013053
DAWSON,24,0.010618
KAYLEIGH,24,0.009854
KELSIE,24,0.007944
EDEN,24,0.006671
KEATON,24,0.006069
MAXIMILIAN,24,0.005952
KALEY,24,0.005352
TAYLER,24,0.005098
JAYLIN,24,0.005020
KACIE,24,0.004801
URIEL,24,0.004641
JANESSA,24,0.004170
LACIE,24,0.003615
CHRISTAL,24,0.003401
KACI,24,0.003168
CHAYA,24,0.003158
ORION,24,0.003125
JAIRO,24,0.003096
DANITA,24,0.003090
DARRIUS,24,0.002628
ALONSO,24,0.002523
VICKEY,24,0.002500
GIDEON,24,0.002405
RAHEEM,24,0.002350
JACOBY,24,0.002287
SHANON,24,0.002197
FATE,24,0.002054
RASHAWN,24,0.001972
CASIMER,24,0.001945
MARIBETH,24,0.001871
SAMIR,24,0.001804
NEVADA,24,0.001697
VIVIEN,24,0.001652
JULE,24,0.001639
POLLIE,24,0.001618
HILDEGARD,24,0.001613
SALOME,24,0.001588
ALMON,24,0.001553
GARETT,24,0.001546
DEMARCO,24,0.001541
ODELIA,24,0.001518
HUSTON,24,0.001497
BYRD,24,0.001496
THEA,24,0.001457
TOMASA,24,0.001417
HESSIE,24,0.001404
ORVIL,24,0.001383
ELAYNE,24,0.001357
LEONORE,24,0.001347
ARMOND,24,0.001292
TERRILL,24,0.001123
WAYLAND,24,0.001107
GIL,24,0.001031
SAL,24,0.001001
ASHLYN,23,0.015969
KATELYNN,23,0.012009
RYLEE,23,0.011883
SHEENA,23,0.010388
KYLER,23,0.008326
TIERRA,23,0.006626
KALEIGH,23,0.006210
KAILA,23,0.005708
LESA,23,0.005199
JAQUELINE,23,0.005153
MALIA,23,0.004804
KOURTNEY,23,0.004662
SCARLETT,23,0.004570
DEBBY,23,0.004215
MICAELA,23,0.004132
DANICA,23,0.003819
NIKITA,23,0.003791
SHANDA,23,0.003590
KOLBY,23,0.003514
LIA,23,0.003401
ROXANN,23,0.003056
CHRISTIANA,23,0.002767
ZECHARIAH,23,0.002584
SIGMUND,23,0.002571
BESSE,23,0.002559
CATHIE,23,0.002513
DOCIA,23,0.002469
VALORIE,23,0.002431
LISSETTE,23,0.002403
NIKOLE,23,0.002362
LAQUITA,23,0.002345
TRAVON,23,0.002316
SHARLA,23,0.002178
MAHALA,23,0.002160
GUIDO,23,0.002080
DONIE,23,0.002055
KANDI,23,0.002032
EVELYNE,23,0.002019
HAMP,23,0.001866
TORREY,23,0.001863
BILLYE,23,0.001843
DERON,23,0.001770
CINDA,23,0.001748
ELIE,23,0.001718
VEVA,23,0.001636
LEONIE,23,0.001591
CRISTOBAL,23,0.001571
REINHOLD,23,0.001557
SAMSON,23,0.001549
WILLENE,23,0.001436
HENRIETTE,23,0.001368
RUDOLF,23,0.001364
KIRT,23,0.001304
FOY,23,0.001286
MARITA,23,0.001280
LARON,23,0.001278
ADOLF,23,0.001257
FLORANCE,23,0.001202
BUTCH,23,0.001198
LEOPOLDO,23,0.001032
ROLF,23,0.000852
JAME,23,0.000797
KIARA,22,0.019337
CONNER,22,0.016987
LAYLA,22,0.011774
KIANA,22,0.009569
KAILEY,22,0.009202
KATLYN,22,0.008642
NIA,22,0.006944
LAURYN,22,0.006840
LAKEISHA,22,0.006459
KAYLIN,22,0.005880
SKYE,22,0.005332
AYANNA,22,0.005116
HOLDEN,22,0.004832
LASHONDA,22,0.004655
TIANNA,22,0.004570
HARMONY,22,0.004444
BREANNE,22,0.004386
CHASTITY,22,0.004374
KAYLYN,22,0.004242
ALESSANDRA,22,0.004234
AYLA,22,0.004018
JAIMIE,22,0.003921
KARLI,22,0.003723
KARLY,22,0.003451
TRACE,22,0.003196
DASHAWN,22,0.003037
BRENNEN,22,0.002882
AJA,22,0.002799
ALESHA,22,0.002751
DANELLE,22,0.002621
RUTHANN,22,0.002533
DANDRE,22,0.002515
CHERYLE,22,0.002442
PHEBE,22,0.002406
CHANTELLE,22,0.002346
JUSTUS,22,0.002250
DARCI,22,0.002206
JEROMY,22,0.002149
BRANDAN,22,0.002003
TOBE,22,0.001963
REMINGTON,22,0.001940
STARR,22,0.001839
KIZZIE,22,0.001805
AMERICO,22,0.001758
MARCELO,22,0.001693
ISA,22,0.001686
DESHAUN,22,0.001671
DONTAE,22,0.001606
ENA,22,0.001596
IVAH,22,0.001581
DICIE,22,0.001476
SANDERS,22,0.001459
ABDUL,22,0.001408
FRONIE,22,0.001357
SANTA,22,0.001352
EVELINA,22,0.001345
WANETA,22,0.001342
PHYLIS,22,0.001246
RUEBEN,22,0.001224
ARLAN,22,0.001019
MICHALE,22,0.000817
GENESIS,21,0.013439
LIZBETH,21,0.008758
DEJA,21,0.006994
KAYLIE,21,0.006808
KIERA,21,0.006776
KIERRA,21,0.006580
KAITLYNN,21,0.006454
KIERSTEN,21,0.005379
CIERA,21,0.005110
SARAI,21,0.004651
CAMRON,21,0.004645
TERA,21,0.004089
JAQUAN,21,0.003988
COLTEN,21,0.003974
MORIAH,21,0.003913
ANIKA,21,0.003828
KATELIN,21,0.003810
LORRI,21,0.003703
TYLOR,21,0.003205
JAMAAL,21,0.003191
TOSHA,21,0.003188
AYANA,21,0.003133
MONTANA,21,0.003126
ULISES,21,0.003036
LEATRICE,21,0.003032
CINDI,21,0.002874
KAMI,21,0.002733
HARPER,21,0.002694
JAMILA,21,0.002576
EBONI,21,0.002549
JULIEN,21,0.002427
BRIGITTE,21,0.002389
NICO,21,0.002378
DANGELO,21,0.002345
ADDA,21,0.002259
TERESSA,21,0.002125
LUTIE,21,0.002093
GARRISON,21,0.002090
SON,21,0.001814
ANTWON,21,0.001737
SHERRYL,21,0.001721
JERILYN,21,0.001718
COLONEL,21,0.001698
METTA,21,0.001697
BETTINA,21,0.001641
COLLETTE,21,0.001544
ANTIONE,21,0.001538
DONITA,21,0.001510
SIGRID,21,0.001395
JACQUE,21,0.001392
ORIE,21,0.001385
COLLINS,21,0.001363
HILBERT,21,0.001330
LORETTO,21,0.001309
BRANNON,21,0.001237
