name,years_in_top1000,total_share
ROOSEVELT,99,0.039462
ZOE,99,0.037816
LILLY,99,0.031718
ELVIRA,99,0.028074
LEIGH,99,0.023237
DELILAH,99,0.010089
CHAUNCEY,99,0.009570
ADOLFO,99,0.008098
BRIAN,98,0.606520
MYRTLE,98,0.294002
DANNY,98,0.148995
YOLANDA,98,0.064682
ELVA,98,0.043087
DARYL,98,0.033849
GUS,98,0.032808
FREDERIC,98,0.013831
FLETCHER,98,0.013701
LUCRETIA,98,0.010629
JOESPH,98,0.009766
LETITIA,98,0.009535
KATHERYN,98,0.009390
MAE,97,0.194281
MADISON,97,0.144010
KIM,97,0.109163
BARRY,97,0.099141
CHARLEY,97,0.061307
GROVER,97,0.061141
KENT,97,0.037070
ROSCOE,97,0.036753
POLLY,97,0.026298
ALEC,97,0.024236
TEDDY,97,0.021213
MARLIN,97,0.014109
URSULA,97,0.011393
FREDA,96,0.052109
MARYANN,96,0.038766
LENORA,96,0.036705
RHODA,96,0.033256
BARNEY,96,0.024209
ABBIE,96,0.022896
NED,96,0.019594
THURMAN,96,0.016776
PHIL,96,0.016661
HAL,96,0.014940
LEANNA,96,0.011523
VIOLA,95,0.209919
FLORA,95,0.114839
MAY,95,0.113871
VERNA,95,0.084099
ALEJANDRO,95,0.053862
TERRENCE,95,0.037368
YVETTE,95,0.034438
MADELYN,95,0.029434
WILEY,95,0.025066
MURRAY,95,0.024107
ELDON,95,0.022891
RODOLFO,95,0.017122
CATHRYN,95,0.009368
MITCHEL,95,0.007451
JENNIFER,94,0.822533
BLANCHE,94,0.187752
WILMA,94,0.128068
DARLENE,94,0.123410
VELMA,94,0.097862
MAXINE,94,0.089543
OTTO,94,0.074382
ESTELLA,94,0.060535
ISABELLE,94,0.060178
ORVILLE,94,0.051170
ROSETTA,94,0.028262
LOYD,94,0.027635
LENORE,94,0.021715
EMORY,94,0.018473
SANFORD,94,0.016603
HARRIS,94,0.013113
LEMUEL,94,0.012131
LENARD,94,0.009734
OCIE,94,0.009290
DOMINGO,94,0.008554
CLIFF,94,0.008113
RANDY,93,0.164602
JOANNE,93,0.136116
MARGUERITE,93,0.124559
INEZ,93,0.094151
COLLEEN,93,0.091543
CHARLENE,93,0.080140
ED,93,0.071579
ERNESTINE,93,0.040663
DREW,93,0.034051
CEDRIC,93,0.020511
WARD,93,0.017957
ALTHEA,93,0.013353
LON,93,0.012864
EZEKIEL,93,0.011647
LINWOOD,93,0.011169
BURT,93,0.008607
TYLER,92,0.261149
AMBER,92,0.193180
FANNIE,92,0.180378
ERIN,92,0.168039
BERTIE,92,0.031098
MONROE,92,0.025466
GLENNA,92,0.020770
MINERVA,92,0.018188
MAJOR,92,0.014669
GILBERTO,92,0.014141
GUILLERMO,92,0.014086
BASIL,92,0.013421
GERRY,92,0.011300
BERRY,92,0.007979
LIBBY,92,0.007755
HARRIET,91,0.118745
EFFIE,91,0.113286
ALBERTA,91,0.086115
CHLOE,91,0.065792
COLIN,91,0.049685
BRYCE,91,0.041761
DOROTHEA,91,0.036163
HELENE,91,0.031835
MILLARD,91,0.026480
DOYLE,91,0.023735
DONA,91,0.017341
ROYAL,91,0.013641
ESTER,91,0.012262
JOSH,91,0.012250
QUINCY,91,0.011926
DENIS,91,0.011141
NAPOLEON,91,0.010044
BERNIE,91,0.007865
KIMBERLY,90,0.446196
LULA,90,0.187308
MAMIE,90,0.166916
SHEILA,90,0.134099
SALLIE,90,0.103589
MELINDA,90,0.074525
LELA,90,0.068033
WHITNEY,90,0.050188
JACQUELYN,90,0.048393
ADELE,90,0.040860
